#,产品/品牌,公司,国家,品类,平台,AI 可移除性(刀1),AI 存在位置(刀2),核心机制,融资/估值,规模(MAU/流水/DAU),付费模式,状态,战略位置评分(1-5),备注/来源
51,Luna Labs / SparkLabs,AppLovin,美国,AI playable ads,Platform,AI-augmented,Pipeline(Dev),AI 生成 playable ads,商用,营收主力,广告,稳,4,S-2.2-D1
52,NEO NPC,Ubisoft × Inworld,法国/美国,AAA NPC demo,Demo,AI-native,Runtime,AAA AI NPC demo,demo,未发布,-,停留,3,S-2.2-E1
53,NVIDIA ACE,NVIDIA,美国,NPC 渲染+LLM,SDK,Enabler,Runtime,本地 NPC 推理,内部,Demo,B2B,Demo,3,S-2.2-E2
54,Copilot for Gaming,Microsoft Xbox,美国,AI 游戏助手,Xbox/PC,AI-augmented,Runtime,游戏内 copilot,内部,2025 beta,订阅,beta,3,S-2.2-E3
55,Roblox Assistant,Roblox,美国,UGC AI 工具,Roblox,Enabler,Pipeline(Creator),Studio copilot,内部,公测,平台,公测,4,S-2.2-E6 · P-Creator
56,Dreamworld,Dreamworld,美国,AI MMO,-,AI-washed,None,KS 诈骗,KS $700K,关停,-,死(欺诈),1,S-2.2-X1 · 警示
57,Faulty Labs,Faulty,美国,AI 陪伴游戏,-,AI-native,Runtime,-,<$2M,关停,-,死,1,S-2.2-X2
58,Vibecheck,-,美国,AI 社交游戏,-,AI-native,Runtime,-,-,关停,-,死,1,S-2.2-X3
59,Fable Studio,Fable,美国,AI 剧集+游戏,Web,AI-native,Runtime+Pipeline Hybrid,AI 剧集 Showrunner,$10M+,转型 B2B,-,转型,2,S-2.2-X4
60,1001 Nights(日发行),Guanqi Studio,日本/中国,AI 生成 VN,Steam,AI-native,Pipeline(Embedded),关键词→图像,独立,小体量,买断,存活,2,S-2.3-01
61,NovelAI,Anlatan,美国/日本,日系 AI 插画+文本,Web,AI-native,Runtime,Anime 风格图+文,付费累计数十万,增长,订阅,增长,4,S-2.3-02 · 日系社区霸主
62,hololive AI 工具,Cover,日本,VTuber 辅助,内部,AI-augmented,Pipeline(Dev),内部辅助,内部,内部,-,稳,2,S-2.3-03
63,Square Enix AI Division,Square Enix,日本,AAA 内部工具,内部,AI-augmented,Pipeline(Dev),内部管线,内部,扩张,-,扩张,3,S-2.3-04
64,The Portopia AI Demo,Square Enix,日本,LLM 互动小说 demo,PC,AI-native,Runtime,LLM VN demo,内部,翻车,-,死,1,S-2.3-05
65,Bandai Namco AI NPC 研究,Bandai Namco,日本,专利+demo,内部,AI-native,Runtime,R&D NPC,内部,R&D,-,研究,2,S-2.3-06
66,Capcom RE Engine + GenAI,Capcom,日本,美术管线,内部,AI-augmented,Pipeline(Dev),材质/贴图 AI,内部,内部,-,稳,2,S-2.3-07
67,Konami MGSΔ / SH2 Remake,Konami,日本,贴图 AI 放大,内部,AI-augmented,Pipeline(Dev),贴图 upscale,内部,内部,-,稳,2,S-2.3-08
68,CyberAgent Extreme AI Studio,CyberAgent,日本,playable ads+素材,Platform,AI-augmented,Pipeline(Dev),广告素材生成,内部,营销规模化,广告,增长,4,S-2.3-09
69,Cygames 手游产线,CyberAgent 子,日本,手游,iOS/Android,AI-washed,Pipeline(Dev),传统手游,内部,年十亿美金,抽卡,稳,3,S-2.3-10
70,Rinna,rinna 株式会社,日本,AI 角色陪伴元祖,iOS/Android,AI-native,Runtime,女高中生 AI,微软系,下滑,订阅,稳,2,S-2.3-11 · 元祖案例
71,Cotomo,Starley,日本,语音 AI 陪伴,iOS,AI-native,Runtime,语音对话,A 轮,DAU ~10 万,免费,下滑,2,S-2.3-12
72,bambi / tsumug,小团队,日本,VN AI 陪伴,iOS/Android,AI-native,Runtime,VN 陪伴,十万级,十万以下,订阅,碎片,1,S-2.3-13
73,Krafton MOGIA,Krafton,韩国,GenAI 游戏工作室,内部,AI-native,Runtime,AAA AI 工作室,内部,30+ 人,-,扩张,5,S-2.3-14 · 东亚唯一
74,inZOI Smart Zoi,Krafton MOGIA,韩国,AI NPC 人生模拟,Steam EA,AI-native,Runtime,本地 LLM NPC,内部,2025.03 EA,买断,验证中,5,S-2.3-15 · AAA Runtime 首秀
75,PUBG Ally / CPC,Krafton × NVIDIA × Inworld,韩国,AI 队友,PUBG,AI-native,Runtime,AI 队友,R&D,R&D,-,实验,3,S-2.3-16
76,Nexon Intelligence Labs,Nexon,韩国,AI Lab,内部,AI-augmented,Pipeline(Dev),Lab,内部,百人级,-,稳,2,S-2.3-17
77,Embark Studios AI TTS,Nexon 子,瑞典/韩国,FPS AI 配音,THE FINALS,AI-native,Pipeline(Embedded),TTS 预烘焙,内部,商业,免费,争议稳,3,S-2.3-18
78,NCSoft VARCO LLM,NCSoft,韩国,自研 LLM,B2B,Enabler,Pipeline(Dev),自研底座,内部,B2B,B2B,压力,2,S-2.3-19
79,NCSoft Project G,NCSoft,韩国,AI-native 新项目,未公布,AI-native,Runtime,R&D,内部,未公布,-,R&D,2,S-2.3-20
80,Smilegate AI / FutureLab,Smilegate,韩国,数字人+研究,内部,AI-augmented,Runtime,数字人 + VR,内部,内部,-,稳,2,S-2.3-21
81,ScatterLab Luda 1.0/2.0,ScatterLab,韩国,AI 陪伴,iOS/Android,AI-native,Runtime,韩语陪聊,A+,重启后中量,订阅,重启,3,S-2.3-22
82,Zeta,ScatterLab,韩国,K-drama AI 角色,iOS/Android,AI-native,Runtime,韩剧角色陪聊,A+,MAU 数百万,订阅,增长,5,S-2.3-23 · 韩国头部
83,Wrtn Technologies,Wrtn,韩国,AI 写作→互动故事,Web/Mobile,AI-native,Runtime,写作 copilot→故事,B 轮,千万 MAU 级,订阅,增长,4,S-2.3-24
84,Naver HyperCLOVA X,Naver,韩国,底座 LLM,API,Enabler,Pipeline(Dev),底座,国家级,国家级,B2B,稳,3,S-2.3-25
85,Kakao Brain KoGPT / Karlo,Kakao,韩国,模型+游戏用,API,Enabler,Pipeline(Dev),底座+图,内部,收缩,B2B,压力,1,S-2.3-26
86,韩国 AI 基本法 + GRAC 分级,政府,韩国,监管,Policy,AI-free,None,监管,-,2025 生效,-,生效,3,S-2.3-27 · 监管
87,Rezona,MWM SAS,法国,AI playable feed,iOS/Android/Web,Enabler,Pipeline(Creator),prompt → AI 生成 meme 小游戏,母 C 轮 $50M,2025 Q3 上线,免费,增长,4,S-2.5-01 · 见 2.5
88,LoopIt,MWM SAS,法国,AI 互动玩具,iOS,Enabler,Pipeline(Creator),prompt → fidget playable,母同上,2025 Q4 上线,免费,早期,3,S-2.5-02 · 见 2.5
89,YouTube Playables Builder,Google,美国,平台 creator,YouTube,Enabler,Pipeline(Creator),creator 用 AI 生成 playable,内部,2025,平台广告,早期,4,S-2.5-04 · 见 2.5
90,Upit,Upit,美国,AI 3D mini game,Web,Enabler,Pipeline(Creator),prompt → mini game,种子轮,2024,免费,早期,2,S-2.5-06 · 见 2.5
91,Websim.ai,Websim,美国,AI 世界生成,Web,Enabler,Pipeline(Creator),AI 生成网页/游戏,OpenAI 系,现象级,免费,现象级,3,S-2.5-10 · 见 2.5
92,Replit AI Game Builder,Replit,美国,Code AI 游戏生成,Web IDE,Enabler,Pipeline(Creator),Replit Agent 游戏生成,$1.2B 估值,增长,订阅,增长,4,S-2.5-11 · 见 2.5
